datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,fog,rain,snow,hail,thunder,tornado
20160115T0200,11.0,51.8,11.0,51.8,100,7.4,4.6,-9999.0,-9999.0,320,NW,0.2,0.1,1017,30.04,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160115T0300,12,53,11,52,94,7.4,4.6,,,320,NW,0.5,0,1018,30.06,-999,-999,-9999,-9999,,,Heavy Fog,1,0,0,0,0,0
20160115T0300,12.0,53.6,11.0,51.8,94,7.4,4.6,-9999.0,-9999.0,320,NW,0.5,0.3,1017,30.04,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160115T0400,12.0,53.6,11.0,51.8,94,9.3,5.8,-9999.0,-9999.0,320,NW,0.6,0.4,1018,30.06,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160115T0500,12.0,53.6,11.0,51.8,94,16.7,10.4,-9999.0,-9999.0,280,West,0.7,0.4,1019,30.09,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160115T0600,13,55,11,52,86,11.1,6.9,,,270,West,0.5,0,1019,30.10,-999,-999,-9999,-9999,,,Shallow Fog,1,0,0,0,0,0
20160115T0600,13.0,55.4,11.0,51.8,88,11.1,6.9,-9999.0,-9999.0,270,West,0.7,0.4,1019,30.09,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160115T0700,13.0,55.4,11.0,51.8,88,9.3,5.8,-9999.0,-9999.0,320,NW,0.8,0.5,1018,30.06,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160115T0800,15.0,59.0,10.0,50.0,72,11.1,6.9,-9999.0,-9999.0,330,NNW,1.0,0.6,1017,30.04,-999,-999,-9999,-9999,-9999.00,-9999.00,Mostly Cloudy,0,0,0,0,0,0
20160115T0900,15,59,10,50,64,13.0,8.1,,,270,West,1,1,1017,30.02,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160115T1000,15.0,59.0,9.0,48.2,67,16.7,10.4,-9999.0,-9999.0,270,West,1.5,0.9,1016,30.01,-999,-999,-9999,-9999,-9999.00,-9999.00,Smoke,0,0,0,0,0,0
20160115T1100,15.0,59.0,11.0,51.8,77,13.0,8.1,-9999.0,-9999.0,310,NW,1.5,0.9,1015,29.98,-999,-999,-9999,-9999,-9999.00,-9999.00,Smoke,0,0,0,0,0,0
20160115T1200,14,58,10,51,70,11.1,6.9,,,320,NW,1,1,1016,29.99,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160115T1200,14.0,57.2,10.0,50.0,77,11.1,6.9,-9999.0,-9999.0,320,NW,1.5,0.9,1015,29.98,-999,-999,-9999,-9999,-9999.00,-9999.00,Partly Cloudy,0,0,0,0,0,0
